Motion detected in 284 frames
Frame 1: 1 objects detected
  Object 6: x=0, y=207, width=50, height=45
  Object 7: x=164, y=195, width=27, height=33
  Object 8: x=189, y=172, width=52, height=73
  Object 9: x=77, y=160, width=17, height=40
  Object 10: x=13, y=151, width=61, height=37
  Object 11: x=350, y=128, width=75, height=41
  Object 12: x=142, y=125, width=54, height=43
  Object 13: x=197, y=80, width=80, height=132
  Object 14: x=152, y=77, width=40, height=50
  Object 15: x=271, y=54, width=71, height=57
  Object 16: x=0, y=23, width=164, height=130
  Object 17: x=0, y=14, width=46, height=44
  Object 18: x=411, y=0, width=89, height=217
  Object 19: x=170, y=0, width=37, height=32
  Object 20: x=130, y=0, width=92, height=77
  Object 21: x=0, y=0, width=48, height=16
Frame 23: 18 objects detected
  Object 1: x=266, y=764, width=34, height=36
  Object 2: x=456, y=315, width=44, height=49
  Object 3: x=193, y=224, width=307, height=135
  Object 4: x=0, y=213, width=144, height=158
  Object 5: x=0, y=207, width=50, height=44
  Object 6: x=154, y=195, width=36, height=39
  Object 7: x=189, y=172, width=52, height=73
  Object 8: x=76, y=160, width=18, height=40
  Object 9: x=12, y=151, width=62, height=37
  Object 10: x=313, y=136, width=30, height=41
  Object 11: x=196, y=79, width=81, height=133
  Object 12: x=152, y=77, width=40, height=51
  Object 13: x=270, y=54, width=71, height=57
  Object 14: x=0, y=23, width=216, height=146
  Object 15: x=0, y=14, width=45, height=47
  Object 16: x=349, y=0, width=151, height=218
  Object 17: x=129, y=0, width=78, height=71
  Object 18: x=0, y=0, width=47, height=16
Frame 24: 18 objects detected
  Object 1: x=266, y=751, width=34, height=50
  Object 2: x=442, y=692, width=26, height=41
  Object 3: x=455, y=315, width=45, height=49
  Object 4: x=192, y=224, width=308, height=135
  Object 5: x=0, y=212, width=144, height=159
  Object 6: x=0, y=207, width=49, height=44
  Object 7: x=153, y=181, width=37, height=53
  Object 8: x=189, y=172, width=51, height=73
  Object 9: x=76, y=160, width=18, height=41
  Object 10: x=12, y=151, width=61, height=37
  Object 11: x=313, y=128, width=112, height=49
  Object 12: x=196, y=78, width=81, height=134
  Object 13: x=270, y=54, width=71, height=57
  Object 14: x=0, y=23, width=216, height=146
  Object 15: x=0, y=14, width=45, height=48
  Object 16: x=411, y=0, width=89, height=218
  Object 17: x=129, y=0, width=78, height=71
  Object 18: x=0, y=0, width=46, height=17
Frame 25: 17 objects detected
  Object 1: x=274, y=750, width=26, height=51
  Object 2: x=441, y=692, width=27, height=41
  Object 3: x=454, y=315, width=46, height=49
  Object 4: x=191, y=224, width=309, height=134
  Object 5: x=0, y=212, width=144, height=159
  Object 6: x=0, y=207, width=49, height=44
  Object 7: x=152, y=181, width=38, height=75
  Object 8: x=188, y=171, width=52, height=73
  Object 9: x=75, y=159, width=19, height=43
  Object 10: x=12, y=151, width=61, height=37
  Object 11: x=194, y=78, width=105, height=134
  Object 12: x=269, y=54, width=72, height=57
  Object 13: x=0, y=24, width=216, height=145
  Object 14: x=0, y=14, width=44, height=48
  Object 15: x=309, y=0, width=191, height=218
  Object 16: x=128, y=0, width=72, height=70
  Object 17: x=0, y=0, width=44, height=17
Frame 26: 19 objects detected
  Object 1: x=265, y=750, width=35, height=51
  Object 2: x=441, y=692, width=27, height=41
  Object 3: x=454, y=315, width=46, height=49
  Object 4: x=191, y=224, width=309, height=135
  Object 5: x=0, y=212, width=144, height=159
  Object 6: x=0, y=207, width=49, height=44
  Object 7: x=188, y=171, width=52, height=73
  Object 8: x=74, y=159, width=20, height=43
  Object 9: x=128, y=158, width=62, height=98
  Object 10: x=11, y=151, width=62, height=37
  Object 11: x=194, y=78, width=105, height=134
  Object 12: x=309, y=57, width=191, height=161
  Object 13: x=268, y=53, width=72, height=58
  Object 14: x=227, y=37, width=36, height=41
  Object 15: x=0, y=24, width=215, height=145
  Object 16: x=0, y=14, width=43, height=48
  Object 17: x=415, y=0, width=85, height=101
  Object 18: x=127, y=0, width=74, height=70
  Object 19: x=0, y=0, width=43, height=17
Frame 27: 17 objects detected
  Object 1: x=264, y=750, width=35, height=51
  Object 2: x=440, y=692, width=28, height=41
  Object 3: x=453, y=315, width=47, height=49
  Object 4: x=179, y=224, width=321, height=135
  Object 5: x=0, y=212, width=144, height=159
  Object 6: x=0, y=207, width=49, height=44
  Object 7: x=133, y=196, width=25, height=27
  Object 8: x=151, y=181, width=38, height=75
  Object 9: x=74, y=159, width=20, height=53
  Object 10: x=126, y=157, width=35, height=38
  Object 11: x=10, y=152, width=62, height=36
  Object 12: x=308, y=108, width=115, height=90
  Object 13: x=266, y=53, width=74, height=58
  Object 14: x=0, y=24, width=304, height=220
  Object 15: x=0, y=23, width=43, height=39
  Object 16: x=409, y=0, width=91, height=218
  Object 17: x=127, y=0, width=74, height=70
Frame 28: 23 objects detected
  Object 1: x=469, y=756, width=31, height=34
  Object 2: x=264, y=750, width=35, height=51
  Object 3: x=440, y=691, width=27, height=42
  Object 4: x=453, y=315, width=47, height=49
  Object 5: x=193, y=224, width=307, height=135
  Object 6: x=0, y=212, width=144, height=159
  Object 7: x=0, y=207, width=68, height=44
  Object 8: x=150, y=181, width=39, height=75
  Object 9: x=73, y=159, width=21, height=53
  Object 10: x=125, y=157, width=36, height=66
  Object 11: x=10, y=152, width=62, height=36
  Object 12: x=307, y=107, width=116, height=91
  Object 13: x=348, y=97, width=32, height=36
  Object 14: x=139, y=76, width=165, height=168
  Object 15: x=409, y=57, width=91, height=161
  Object 16: x=265, y=53, width=75, height=58
  Object 17: x=226, y=38, width=36, height=40
  Object 18: x=0, y=24, width=148, height=128
  Object 19: x=0, y=23, width=42, height=40
  Object 20: x=437, y=0, width=63, height=101
  Object 21: x=403, y=0, width=42, height=28
  Object 22: x=167, y=0, width=39, height=20
  Object 23: x=127, y=0, width=74, height=70
Frame 29: 19 objects detected
  Object 1: x=468, y=758, width=32, height=32
  Object 2: x=264, y=749, width=35, height=52
  Object 3: x=452, y=315, width=48, height=49
  Object 4: x=193, y=224, width=307, height=135
  Object 5: x=0, y=207, width=144, height=164
  Object 6: x=72, y=159, width=22, height=53
  Object 7: x=124, y=156, width=65, height=100
  Object 8: x=10, y=153, width=62, height=35
  Object 9: x=307, y=107, width=115, height=91
  Object 10: x=348, y=97, width=31, height=36
  Object 11: x=408, y=56, width=92, height=162
  Object 12: x=264, y=53, width=76, height=58
  Object 13: x=226, y=37, width=36, height=31
  Object 14: x=0, y=24, width=303, height=219
  Object 15: x=0, y=23, width=42, height=40
  Object 16: x=436, y=0, width=64, height=101
  Object 17: x=402, y=0, width=43, height=28
  Object 18: x=167, y=0, width=39, height=20
  Object 19: x=126, y=0, width=76, height=70
Frame 30: 19 objects detected
  Object 1: x=443, y=758, width=57, height=33
  Object 2: x=272, y=749, width=26, height=53
  Object 3: x=439, y=691, width=26, height=42
  Object 4: x=452, y=314, width=48, height=50
  Object 5: x=193, y=224, width=307, height=135
  Object 6: x=0, y=216, width=144, height=155
  Object 7: x=0, y=207, width=69, height=44
  Object 8: x=72, y=159, width=22, height=54
  Object 9: x=123, y=156, width=66, height=100
  Object 10: x=10, y=153, width=61, height=35
  Object 11: x=306, y=107, width=116, height=91
  Object 12: x=347, y=97, width=32, height=36
  Object 13: x=408, y=56, width=92, height=162
  Object 14: x=225, y=38, width=37, height=30
  Object 15: x=0, y=25, width=340, height=218
  Object 16: x=0, y=23, width=42, height=40
  Object 17: x=435, y=0, width=65, height=101
  Object 18: x=402, y=0, width=42, height=28
  Object 19: x=125, y=0, width=105, height=49
Frame 31: 21 objects detected
  Object 1: x=428, y=758, width=72, height=36
  Object 2: x=263, y=749, width=35, height=53
  Object 3: x=438, y=690, width=27, height=43
  Object 4: x=451, y=315, width=49, height=49
  Object 5: x=194, y=224, width=306, height=135
  Object 6: x=0, y=216, width=144, height=155
  Object 7: x=0, y=208, width=69, height=28
  Object 8: x=71, y=158, width=22, height=55
  Object 9: x=274, y=156, width=27, height=36
  Object 10: x=306, y=139, width=36, height=59
  Object 11: x=343, y=107, width=79, height=61
  Object 12: x=347, y=97, width=31, height=36
  Object 13: x=408, y=55, width=92, height=162
  Object 14: x=298, y=53, width=43, height=23
  Object 15: x=175, y=39, width=31, height=31
  Object 16: x=225, y=38, width=37, height=30
  Object 17: x=0, y=26, width=317, height=230
  Object 18: x=0, y=23, width=42, height=40
  Object 19: x=434, y=0, width=66, height=101
  Object 20: x=401, y=0, width=43, height=28
  Object 21: x=125, y=0, width=105, height=49
Frame 32: 20 objects detected
  Object 1: x=428, y=758, width=72, height=36
  Object 2: x=263, y=749, width=47, height=53
  Object 3: x=451, y=315, width=49, height=49
  Object 4: x=193, y=224, width=307, height=135
  Object 5: x=0, y=216, width=144, height=155
  Object 6: x=0, y=208, width=69, height=28
  Object 7: x=70, y=158, width=24, height=55
  Object 8: x=273, y=156, width=28, height=37
  Object 9: x=306, y=139, width=36, height=59
  Object 10: x=343, y=106, width=78, height=61
  Object 11: x=346, y=97, width=31, height=36
  Object 12: x=408, y=55, width=92, height=162
  Object 13: x=175, y=39, width=32, height=31
  Object 14: x=224, y=38, width=38, height=30
  Object 15: x=433, y=27, width=58, height=74
  Object 16: x=0, y=27, width=341, height=217
  Object 17: x=0, y=23, width=44, height=40
  Object 18: x=445, y=0, width=55, height=72
  Object 19: x=400, y=0, width=43, height=28
  Object 20: x=124, y=0, width=105, height=49
Frame 33: 20 objects detected
  Object 1: x=426, y=759, width=74, height=35
  Object 2: x=262, y=749, width=48, height=53
  Object 3: x=437, y=690, width=28, height=42
  Object 4: x=450, y=314, width=50, height=50
  Object 5: x=193, y=221, width=307, height=139
  Object 6: x=0, y=208, width=143, height=162
  Object 7: x=273, y=155, width=28, height=38
  Object 8: x=12, y=154, width=81, height=59
  Object 9: x=305, y=145, width=37, height=53
  Object 10: x=343, y=106, width=77, height=61
  Object 11: x=346, y=97, width=30, height=35
  Object 12: x=407, y=54, width=93, height=163
  Object 13: x=223, y=38, width=38, height=30
  Object 14: x=175, y=38, width=33, height=32
  Object 15: x=0, y=29, width=342, height=214
  Object 16: x=433, y=27, width=58, height=73
  Object 17: x=0, y=24, width=46, height=39
  Object 18: x=445, y=0, width=55, height=73
  Object 19: x=400, y=0, width=43, height=28
  Object 20: x=123, y=0, width=106, height=49
Frame 34: 22 objects detected
